OBJECTID,MUNICIPALITE,NUMERO_DE_FICHE,PARCOURS,NOM_DE_L_OEUVRE,ANNEE,EMPLACEMENT,PROMOTEUR,PROPRIETE,CATEGORIE,MATERIAUX,TECHNIQUE,DIMENSIONS,Y_LATITUDE,X_LONGITUDE,NOM_ARTISTE,COORDONNEE_ARTISTE,SITE_WEB_ARTISTE,INDICATION,ETAT,GEOM
1,10043,EXT-08,Parcours en bord de mer,L’esprit des lieux,2019,"À l’ouest de la Soper, sur la rue des Marins",SOPER,Collection d’art public de la Ville de Rimouski,Sculpture,"Treillis métallique, fibre de verre",Fibre de verre sur armature en métal déployé réalisée en exemplaire unique par des techniques de mod,"Hauteur 4,00 m - Largeur 1,00 m",48.45053636,-68.53058109,Christian Girard,Non disponible,Non disponible,Extérieur, ,Point
2,10043,EXT-07,Parcours en bord de mer,Cap à l’Est,2017,Entré de la halte rue St-Germain Est,Rimouski Ville cyclable,Collection d’art public de la Ville de Rimouski,Sculpture,"Métal de cuivre, métal argent, acier forgé",,,48.46998019,-68.51649219,Étienne Guay,atelieretienneguay@hotmail.com,Non disponible,Extérieur, ,Point
3,10043,EXT-01,Parcours de la Cathédrale,Si tu allais quelque part,2015,Place du 6 mai 1950, ,Collection d’art public de la Ville de Rimouski,Texte gravé,Granit,,,48.45090394,-68.52825728,Paul-Chanel Malenfant,atelieretienneguay@hotmail.com,Non disponible,Extérieur, ,Point
4,10043,EXT-10,Parcours en bord de mer,La fascinée,2019,Sentier du littoral,Société Rimouskoise du Patrimoine,Collection d’art public de la Ville de Rimouski,Sculpture,Bois d’épinette lamellé et collé,,"Largeur 5,70 m - Longueur 12,80 m",48.44558848,-68.54441761,"Gilles Caron, Yvon Lavoie, Marquise Lebl",atelieretienneguay@hotmail.com,Non disponible,Extérieur, ,Point
5,10043,EXT-09,Parcours en bord de mer,La macrée,2016,Sentier du littoral,Société Rimouskoise du Patrimoine,Collection d’art public de la Ville de Rimouski,Sculpture,"Acier corten, bois lamellé-collé cintré",,"Hauteur 3,00 m - Largeur 4,80 m - Longueur 7,80 m",48.44561327,-68.5427043,"Gilles Caron, Yvon Lavoie, Marquise Lebl",atelieretienneguay@hotmail.com,Non disponible,Extérieur, ,Point
6,10043,EXT-11,Parcours en bord de mer,Le sentier poétique,2005,Sentier du littoral,Salon du livre de Rimouski,Salon du livre de Rimouski,installation,Pierre gravée,,variées,48.44501758,-68.5472417,"Paul-Chanel Malenfant, Joséphine Bacon, ",Non disponible,Non disponible,Extérieur, ,Point
7,10043,EXT-02,Parcours de la Cathédrale,Murale 150e,2017,Rue Sainte-Marie, ,Collection d’art public de la Ville de Rimouski,Peinture murale,"Contreplaqué, peinture", ,"Hauteur 2,50 m - Largeur 7,00 m",48.45037739,-68.52667376,Stéphane Dufresne, , ,Extérieur, ,Point
8,10043,EXT-03,Parcours de la Cathédrale,Oeuvre du Palais de justice,2020,Palais de justice, ,Œuvre d'intégration 1 %,Sculpture, , ,,48.44986874,-68.52581867, , , ,Extérieur, ,Point
9,10043,EXT-04,Parcours de la Cathédrale,Observatoire (Dans le regard du peintre),2014,Galerie d'art Léonard-Parent, ,Collection d’art public de la Ville de Rimouski,Peinture murale,Peinture, ,,48.44992772,-68.52546335,Jean-Philippe Roy, , ,Extérieur, ,Point
10,10043,EXT-14,Parcours du centre-ville,La grande hune,2008,Cégep de Rimouski,Cégep de Rimouski,Cégep de Rimouski,"installation, sculpture",Aluminium brossé, ,"Hauteur 9,00 m",48.44804151,-68.52739167,Gwenaël Bélanger, , ,Extérieur, ,Point
